member_id,email,pw,first_name,last_name,phone_number,birthday,gender,membership_type_id,duration_group_id,role_id
"0",Admin.Adminton123@mail.com,password,Admin,Adminton,"034579803754",1969-09-06,m,1,3,1
1,Hamilton.Hogan997@mail.com,AHRbTCYW,Hamilton,Hogan,316374490339,2000-05-26,m,1,3,2
2,Dale.Hampton175@mail.com,OLOijXIf,Dale,Hampton,854699179970,1963-11-08,m,1,1,3
3,Nicol.Ellis329@mail.com,NrLHXzLc,Nicol,Ellis,"019663411328",1931-10-23,m,1,2,3
4,Alessandro.Vargas234@mail.com,sKfUTndQ,Alessandro,Vargas,584296178836,1944-11-12,m,1,4,3
5,Vincent.Sparks354@mail.com,EwuEsVyC,Vincent,Sparks,355410193153,1956-04-01,m,1,3,3
6,Alan.Green824@mail.com,xliXZVLN,Alan,Green,992782466931,1954-02-05,m,1,3,3
7,Mathew.Hansen808@mail.com,KSaOfQkS,Mathew,Hansen,"016788113615",1994-02-02,m,1,1,4
8,Norman.Terry935@mail.com,HGYdLBIf,Norman,Terry,313859086142,1990-11-04,m,2,2,4
9,Greg.Goodman289@mail.com,rczIvqcx,Greg,Goodman,236526990144,2012-06-16,m,2,3,4
10,Hamilton.Reyes239@mail.com,roBYtumQ,Hamilton,Reyes,980495298080,1950-02-08,m,1,2,4
11,Neill.Cobb662@mail.com,XsZPBjZD,Neill,Cobb,763411474650,2020-06-25,m,1,2,4
12,Ryan.Diaz941@mail.com,qsmTzFfA,Ryan,Diaz,997284621624,1959-12-19,m,2,2,4
13,Riccardo.Brady615@mail.com,IzwbAtif,Riccardo,Brady,629525770557,1940-12-06,m,2,3,4
14,Archibald.Brooks410@mail.com,qTIrAdNO,Archibald,Brooks,112887850878,1981-03-08,m,2,2,4
15,Chad.Morales441@mail.com,klwdRTKi,Chad,Morales,135122820744,2002-12-20,m,2,2,4
16,Aaron.Hammond157@mail.com,UbftNPDJ,Aaron,Hammond,"034036842180",2012-05-23,m,2,3,4
17,Edmond.Wise961@mail.com,UELCJnQZ,Edmond,Wise,939819208326,2008-07-16,m,1,3,4
18,Clarke.Anderson904@mail.com,xuEUSIwd,Clarke,Anderson,563882808381,1963-01-14,m,2,3,4
19,Juan.Molina568@mail.com,pboWfRCi,Juan,Molina,413293368257,1956-07-07,m,1,3,4
20,Ceri.Short213@mail.com,ZBRWjoxk,Ceri,Short,728103824530,2018-07-18,m,1,2,4
21,Clint.Morrow921@mail.com,wymIzlqD,Clint,Morrow,952284902656,2003-02-21,m,1,3,4
22,Tommy.Castillo960@mail.com,FZEVYOJr,Tommy,Castillo,602680049810,2007-11-20,m,1,3,4
23,Chun.Santiago244@mail.com,uMLzKKMM,Chun,Santiago,102340279465,1954-02-10,m,1,4,4
24,Timothy.Pacheco812@mail.com,PYNmnVwt,Timothy,Pacheco,522343413900,1997-02-21,m,1,2,4
25,Thomas.Robbins17@mail.com,ltDNMAOL,Thomas,Robbins,249116962716,1938-11-02,m,2,2,4
26,Henry.Oconnor689@mail.com,fKfKhvBs,Henry,Oconnor,986390937540,1982-08-02,m,1,2,4
27,Leon.Stone876@mail.com,tRViXJWg,Leon,Stone,462216925641,1984-10-15,m,1,1,4
28,Brian.Silva538@mail.com,JMJbPGzq,Brian,Silva,687006709033,1941-06-25,m,2,2,4
29,Wai.Freeman815@mail.com,oiaDbJcy,Wai,Freeman,203354672270,2019-10-24,m,2,1,4
30,Wayne.Meyer315@mail.com,GJNRwWJH,Wayne,Meyer,602361823601,1937-10-11,m,1,3,4
31,Ross.Guerra458@mail.com,lLnaOmbK,Ross,Guerra,770260793395,1935-06-03,m,2,3,4
32,Arran.Nguyen381@mail.com,qTuRrVpx,Arran,Nguyen,382365362481,2006-04-09,m,1,3,4
33,Timothy.Santiago220@mail.com,uxhIjglV,Timothy,Santiago,817548741149,1968-04-02,m,2,3,4
34,Guy.Warren874@mail.com,fqOaqlFc,Guy,Warren,630889901669,1973-03-27,m,1,3,4
35,Maxwell.White51@mail.com,KOmecjwo,Maxwell,White,581214996287,1964-02-26,m,1,2,4
36,Eamonn.Dennis820@mail.com,tsEZalyZ,Eamonn,Dennis,836111914085,1948-10-27,m,1,3,4
37,Ruaridh.Schneider606@mail.com,CSKSvLgk,Ruaridh,Schneider,577897377600,1939-01-22,m,2,3,4
38,Donald.Hardy670@mail.com,qHPDIoYf,Donald,Hardy,524144963560,2010-09-15,m,2,3,4
39,Robbie.Weiss558@mail.com,OwMJYokr,Robbie,Weiss,280404302211,2008-08-18,m,1,2,4
40,Mathew.Tyler38@mail.com,alkQotTT,Mathew,Tyler,"027716454566",1931-03-26,m,1,2,4
41,Alistair.Bailey897@mail.com,piqnRCEH,Alistair,Bailey,607786315488,2010-09-15,m,2,2,4
42,Noel.Yang98@mail.com,BwrTLXOv,Noel,Yang,830885226794,2019-11-21,m,1,3,4
43,Paul.Goodwin962@mail.com,kzqHpqef,Paul,Goodwin,944404051397,1968-10-03,m,1,3,4
44,Dean.Huang895@mail.com,mZTZtOTf,Dean,Huang,683060902013,1981-07-26,m,1,1,4
45,Derek.Rodriguez482@mail.com,aSVBANMV,Derek,Rodriguez,881548461255,1984-02-09,m,1,3,4
46,Imran.Hunt152@mail.com,ueSHcHTv,Imran,Hunt,871797075970,1963-01-04,m,1,2,4
47,Ashok.Gilbert55@mail.com,pskQEnxJ,Ashok,Gilbert,970841665514,1999-01-19,m,1,3,4
48,Liam.Hart373@mail.com,MSmjFqmg,Liam,Hart,153578018586,1960-05-24,m,1,3,4
49,Ivor.Fisher205@mail.com,rDUwqCXt,Ivor,Fisher,"032860587866",1941-08-04,m,1,3,4
